Suburb,Postcode,State,Country,Latitude,Longitude
Nitmiluk,0852,Northern Territory,Australia,-15.00454541,133.3767512
Numbulwar,0852,Northern Territory,Australia,-14.2761111,135.7372222
Pellew Islands,0852,Northern Territory,Australia,-15.00454541,133.3767512
Pigeon Hole,0852,Northern Territory,Australia,-15.00454541,133.3767512
Robinson River,0852,Northern Territory,Australia,-15.00454541,133.3767512
Sturt Plateau,0852,Northern Territory,Australia,-15.00454541,133.3767512
Tanami East,0852,Northern Territory,Australia,-15.00454541,133.3767512
Timber Creek,0852,Northern Territory,Australia,-15.6625,130.4804
Top Springs,0852,Northern Territory,Australia,-16.543825,131.797724
Uralla,0852,Northern Territory,Australia,-14.49113871,132.298346
Venn,0852,Northern Territory,Australia,-15.00454541,133.3767512
Victoria River,0852,Northern Territory,Australia,-15.00454541,133.3767512
Victoria River Downs,0852,Northern Territory,Australia,-16.04320884,132.421889
Warumungu,0852,Northern Territory,Australia,-15.00454541,133.3767512
Wave Hill,0852,Northern Territory,Australia,-17.447599,130.834442
Wilton,0852,Northern Territory,Australia,-15.00454541,133.3767512
Yarralin,0852,Northern Territory,Australia,-16.45256667,130.8419144
Tindal,0853,Northern Territory,Australia,-14.53122792,132.3792698
Tindal Raaf,0853,Northern Territory,Australia,-14.57333334,132.54
Borroloola,0854,Northern Territory,Australia,-16.07034227,136.3086586
King Ash Bay,0854,Northern Territory,Australia,-14.89233024,133.1576737
Tennant Creek,0860,Northern Territory,Australia,-19.65480011,134.187069
Tennant Creek,0861,Northern Territory,Australia,-23.7,133.88333
Calvert,0862,Northern Territory,Australia,-16.9206031,137.2034392
Elliott,0862,Northern Territory,Australia,-17.55065,133.540665
Newcastle Waters,0862,Northern Territory,Australia,-18.98892642,135.0004008
Nicholson,0862,Northern Territory,Australia,-37.84205473,145.0693989
Pamayu,0862,Northern Territory,Australia,-37.84205473,145.0693989
Renner Springs,0862,Northern Territory,Australia,-37.84205473,145.0693989
Tablelands,0862,Northern Territory,Australia,-37.84205473,145.0693989
Tennant Creek,0862,Northern Territory,Australia,-19.64970095,134.1914749
Warrego,0862,Northern Territory,Australia,-19.436203,133.820804
Alice Springs,0870,Northern Territory,Australia,-23.73501683,133.8547714
Araluen,0870,Northern Territory,Australia,-23.69600972,133.8539978
Arumbera,0870,Northern Territory,Australia,-23.70000269,133.8739912
Braitling,0870,Northern Territory,Australia,-23.68004812,133.8687686
Ciccone,0870,Northern Territory,Australia,-23.70000269,133.8739912
Connellan,0870,Northern Territory,Australia,-23.70000269,133.8739912
Desert Springs,0870,Northern Territory,Australia,-23.70000269,133.8739912
East Side,0870,Northern Territory,Australia,-23.69195391,133.8931981
Gillen,0870,Northern Territory,Australia,-23.70915106,133.8659609
Ilparpa,0870,Northern Territory,Australia,-23.70000269,133.8739912
Irlpme,0870,Northern Territory,Australia,-23.64689804,133.8647645
Mount Johns,0870,Northern Territory,Australia,-23.72322058,133.9130173
Ross,0870,Northern Territory,Australia,-23.74423553,133.9035751
Sadadeen,0870,Northern Territory,Australia,-23.703987,133.9004253
Stuart,0870,Northern Territory,Australia,-23.697479,133.883621
The Gap,0870,Northern Territory,Australia,-23.71333497,133.8738552
Undoolya,0870,Northern Territory,Australia,-23.70000269,133.8739912
White Gums,0870,Northern Territory,Australia,-23.70000269,133.8739912
Alice Springs,0871,Northern Territory,Australia,-23.7,133.88333
Ali Curung,0872,Northern Territory,Australia,-21.01986847,134.3248507
Alice Springs,0872,Northern Territory,Australia,-23.7917321,132.6817847
Amoonguna,0872,Northern Territory,Australia,-23.770941,133.936523
Ampilatwatja,0872,Northern Territory,Australia,-21.657021,135.225906
Anatye,0872,Northern Territory,Australia,-23.32561794,133.0557379
Anmatjere,0872,Northern Territory,Australia,-23.32561794,133.0557379
Areyonga,0872,Northern Territory,Australia,-24.166937,132.286759
Atitjere,0872,Northern Territory,Australia,-23.32561794,133.0557379
Barrow Creek,0872,Northern Territory,Australia,-21.55,133.8833333
Burt Plain,0872,Northern Territory,Australia,-23.32561794,133.0557379
Canteen Creek,0872,Northern Territory,Australia,-20.64026547,135.586508
Chilla Well,0872,Northern Territory,Australia,-23.32561794,133.0557379
Costello,0872,Northern Territory,Australia,-14.565541,134.879389
Davenport,0872,Northern Territory,Australia,-23.32561794,133.0557379
Engawala,0872,Northern Territory,Australia,-22.80309437,134.456405
Erldunda,0872,Northern Territory,Australia,-23.32561794,133.0557379
Ernabella,0872,South Australia,Australia,-23.7917321,132.6817847
Finke,0872,Northern Territory,Australia,-25.698005,134.339708
Fregon,0872,South Australia,Australia,-26.76393,132.02773
Ghan,0872,Northern Territory,Australia,-23.32561794,133.0557379
Gibson Desert North,0872,Western Australia,Australia,-23.32561794,133.0557379
Gibson Desert South,0872,Western Australia,Australia,-23.32561794,133.0557379
Haasts Bluff,0872,Northern Territory,Australia,-23.509293,132.185203
Hale,0872,Northern Territory,Australia,-23.32561794,133.0557379
Hart,0872,Northern Territory,Australia,-23.32561794,133.0557379
Hart Range,0872,Northern Territory,Australia,-23.32561794,133.0557379
Hermannsburg,0872,Northern Territory,Australia,-23.7917321,132.6817847
Hugh,0872,Northern Territory,Australia,-23.32561794,133.0557379
Imanpa,0872,Northern Territory,Australia,-25.11755646,132.5687626
Indulkana,0872,South Australia,Australia,-26.959982,133.305796
Ininti Store,0872,Northern Territory,Australia,-23.32561794,133.0557379
Kaltukatjara,0872,Northern Territory,Australia,-23.7917321,132.6817847
Kings Creek Station,0872,Northern Territory,Australia,-23.32561794,133.0557379
Kintore,0872,Northern Territory,Australia,-23.7917321,132.6817847
Kiwirrkurra,0872,Western Australia,Australia,-23.32561794,133.0557379
Kulgera,0872,Northern Territory,Australia,-23.32561794,133.0557379
Kunparrka,0872,Northern Territory,Australia,-23.3610598,131.6665398
Lake Mackay,0872,Northern Territory,Australia,-23.32561794,133.0557379
Laramba,0872,Northern Territory,Australia,-22.543436,132.7623591
Macdonnell Range,0872,Northern Territory,Australia,-23.32561794,133.0557379
Mereenie,0872,Northern Territory,Australia,-23.32561794,133.0557379
Mimili,0872,South Australia,Australia,-23.32561794,133.0557379
Mount Liebig,0872,Northern Territory,Australia,-23.32561794,133.0557379
Mount Zeil,0872,Northern Territory,Australia,-23.32561794,133.0557379
Mutitjulu,0872,Northern Territory,Australia,-23.32561794,133.0557379
Namatjira,0872,Northern Territory,Australia,-23.32561794,133.0557379
Napperby Station,0872,Northern Territory,Australia,-23.32561794,133.0557379
Ngaanyatjarra-Giles,0872,Western Australia,Australia,-23.32561794,133.0557379
Nyapari,0872,South Australia,Australia,-23.32561794,133.0557379
Nyirripi,0872,Northern Territory,Australia,-22.64924238,130.5638642
Papunya,0872,Northern Territory,Australia,-23.20451079,131.9121552
Patjarr,0872,Western Australia,Australia,-23.32561794,133.0557379
Petermann,0872,Northern Territory,Australia,-23.32561794,133.0557379
Sandover,0872,Northern Territory,Australia,-21.95964565,135.5128028
Santa Teresa,0872,Northern Territory,Australia,-24.730598,135.332238
Simpson,0872,Northern Territory,Australia,-23.32561794,133.0557379
Tanami,0872,Northern Territory,Australia,-23.32561794,133.0557379
Tara,0872,Northern Territory,Australia,-21.48330847,133.9991947
Telegraph Station,0872,Northern Territory,Australia,-23.32561794,133.0557379
Ti Tree,0872,Northern Territory,Australia,-22.13382342,133.4139482
Titjikala,0872,Northern Territory,Australia,-24.68023123,134.0751079
Tjirrkarli,0872,Western Australia,Australia,-23.32561794,133.0557379
